ID,Name,Address
1,Western Governors University,4001 South 700 East
2,International Peace Gardens,1060 Dalton Ave S
3,Sugar House Park,1330 2100 S
4,Taylorsville-Bennion Heritage City Gov Off,1488 4800 S
5,Salt Lake City Division of Health Services,177 W Price Ave
6,South Salt Lake Public Works,195 W Oakland Ave
7,Salt Lake City Streets and Sanitation,2010 W 500 S
8,Deker Lake,2300 Parkway Blvd
9,Salt Lake City Ottinger Hall,233 Canyon Rd
10,Columbus Library,2530 S 500 E
11,Taylorsville City Hall,2600 Taylorsville Blvd
12,South Salt Lake Police,2835 Main St
13,Council Hall,300 State St
14,Redwood Park,3060 Lester St
15,Salt Lake County Mental Health,3148 S 1100 W
16,Salt Lake County/United Police Dept,3365 S 900 W
17,West Valley Prosecutor,3575 W Valley Central Station
18,Housing Auth. of Salt Lake County,3595 Main St
19,Utah DMV Administrative Office,380 W 2880 S
20,Third District Juvenile Court,410 S State St
21,Cottonwood Regional Softball Complex,4300 S 1300 E
22,Holiday City Office,4580 S 2300 E
23,Murray City Museum,5025 State St
24,Valley Regional Softball Complex,5100 South 2700 West
25,City Center of Rock Springs,5383 South 900 East #104
26,Rice Terrace Pavilion Park,600 E 900 South
27,Wheeler Historic Farm,6351 South 900 East
